date,region,lat,lon,temp_c,precip_mm,ndvi
2025-07-01,Amman,31.9539,35.9106,23.526,2.75,0.5
2025-07-02,Amman,31.9539,35.9106,21.987,0.698,0.506
2025-07-03,Amman,31.9539,35.9106,24.267,1.983,0.475
2025-07-04,Amman,31.9539,35.9106,25.889,2.778,0.487
2025-07-05,Amman,31.9539,35.9106,26.089,2.468,0.474
2025-07-06,Amman,31.9539,35.9106,24.779,1.041,0.524
2025-07-07,Amman,31.9539,35.9106,23.98,1.815,0.487
2025-07-08,Amman,31.9539,35.9106,25.717,1.845,0.494
2025-07-09,Amman,31.9539,35.9106,23.184,2.532,0.504
2025-07-10,Amman,31.9539,35.9106,24.161,2.431,0.543
2025-07-11,Amman,31.9539,35.9106,22.762,1.488,0.494
2025-07-12,Amman,31.9539,35.9106,24.126,3.129,0.494
2025-07-13,Amman,31.9539,35.9106,21.773,1.176,0.53
2025-07-14,Amman,31.9539,35.9106,23.98,2.543,0.492
2025-07-15,Amman,31.9539,35.9106,23.045,2.117,0.515
2025-07-16,Amman,31.9539,35.9106,23.837,2.224,0.525
2025-07-17,Amman,31.9539,35.9106,22.465,2.289,0.525
2025-07-18,Amman,31.9539,35.9106,20.012,1.68,0.51
2025-07-19,Amman,31.9539,35.9106,21.075,1.725,0.551
2025-07-20,Amman,31.9539,35.9106,20.57,2.968,0.476
2025-07-21,Amman,31.9539,35.9106,21.204,2.163,0.531
2025-07-22,Amman,31.9539,35.9106,22.611,2.793,0.507
2025-07-23,Amman,31.9539,35.9106,20.689,2.858,0.511
2025-07-24,Amman,31.9539,35.9106,19.309,0.867,0.517
2025-07-25,Amman,31.9539,35.9106,21.81,2.142,0.538
2025-07-26,Amman,31.9539,35.9106,20.266,2.159,0.538
2025-07-27,Amman,31.9539,35.9106,20.286,2.457,0.51
2025-07-28,Amman,31.9539,35.9106,20.05,1.618,0.509
2025-07-29,Amman,31.9539,35.9106,21.171,1.531,0.535
2025-07-30,Amman,31.9539,35.9106,21.01,2.447,0.54
2025-07-31,Amman,31.9539,35.9106,19.99,1.577,0.535
2025-08-01,Amman,31.9539,35.9106,17.457,0.553,0.521
2025-08-02,Amman,31.9539,35.9106,18.344,2.4,0.512
2025-08-03,Amman,31.9539,35.9106,19.125,3.299,0.514
2025-08-04,Amman,31.9539,35.9106,20.654,1.066,0.541
2025-08-05,Amman,31.9539,35.9106,17.979,1.661,0.556
2025-08-06,Amman,31.9539,35.9106,16.671,2.434,0.537
2025-08-07,Amman,31.9539,35.9106,18.231,0.554,0.553
2025-08-08,Amman,31.9539,35.9106,18.19,2.233,0.536
2025-08-09,Amman,31.9539,35.9106,21.25,1.761,0.52
2025-08-10,Amman,31.9539,35.9106,18.981,2.22,0.563
2025-08-11,Amman,31.9539,35.9106,19.832,2.357,0.565
2025-08-12,Amman,31.9539,35.9106,16.665,1.36,0.527
2025-08-13,Amman,31.9539,35.9106,17.735,0.623,0.566
2025-08-14,Amman,31.9539,35.9106,17.859,0.529,0.534
2025-08-15,Amman,31.9539,35.9106,18.537,2.838,0.571
2025-08-16,Amman,31.9539,35.9106,22.315,2.414,0.516
2025-08-17,Amman,31.9539,35.9106,14.625,2.268,0.521
2025-08-18,Amman,31.9539,35.9106,17.081,1.388,0.543
2025-08-19,Amman,31.9539,35.9106,19.187,2.157,0.535
2025-08-20,Amman,31.9539,35.9106,15.92,0.325,0.546
2025-08-21,Amman,31.9539,35.9106,17.28,3.768,0.524
2025-08-22,Amman,31.9539,35.9106,18.725,1.501,0.52
2025-08-23,Amman,31.9539,35.9106,15.696,1.275,0.588
2025-08-24,Amman,31.9539,35.9106,15.806,2.838,0.511
